UDALERRIA / MUNICIPIO;13/05;14/05;15/05;16/05;17/05;18/05;19/05;20/05;21/05;22/05;23/05;24/05;25/05;26/05;27/05;28/05;29/05;30/05;31/05;01/06;02/06;03/06;04/06;05/06;06/06;07/06;08/06;09/06;10/06;11/06;12/06;13/06;14/06;15/06;16/06;17/06;18/06;19/06;20/06;21/06;23/06;24/06;25/06;26/06;27/06;28/06;29/06;30/06;01/07;02/07;03/07;04/07;05/07;06/07;07/07;08/07;09/07;10/07;11/07;12/07;13/07;14/07;15/07;16/07;17/07;18/07;19/07;20/07;21/07;22/07;23/07;24/07;25/07;26/07;27/07;28/07;29/07;30/07;31/07;01/08;02/08;03/08;04/08;05/08;06/08;07/08;08/08;09/08;10/08;11/08;12/08;13/08;14/08;15/08;16/08;17/08;18/08;19/08;20/08;21/08;22/08;23/08;24/08;25/08;26/08;27/08;28/08;29/08;30/08;31/08;1/09;2/09;3/09;4/09;5/09;6/09;7/09;8/09;9/09;10/09;11/09;12/09;13/09;14/09;15/09;16/09;17/09;18/09;19/09;20/09;21/09;22/09;23/09;24/09;25/09;26/09;27/09;28/09;29/09;30/09;01/10;02/10;03/10;04/10;05/10;06/10;07/10;08/10;09/10;10/10;11/10;12/10;13/10;14/10;15/10;16/10;17/10;18/10;19/10;20/10;21/10;22/10;23/10;24/10;25/10;26/10;27/10;28/10;29/10;30/10;31/10;01/11;02/11;03/11;04/11;05/11;06/11;07/11;08/11;09/11;10/11;11/11;12/11;13/11;14/11;15/11;16/11;17/11;
Barrika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;20;0;1;1;2;4;0;7;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;1;0;1;2;0;1;0;0;
Basauri;1;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;2;3;2;2;3;1;3;1;0;1;4;2;2;6;5;6;5;5;8;5;12;9;5;4;3;2;7;4;9;8;3;7;9;8;17;5;8;3;5;4;3;13;6;6;5;3;9;3;2;10;5;10;3;9;8;2;7;8;6;6;1;26;13;10;6;5;2;6;5;6;1;3;6;6;9;0;3;7;5;2;1;1;5;3;5;11;7;5;8;5;7;11;5;7;1;3;13;11;2;4;14;10;18;12;21;30;22;18;34;23;30;30;37;29;26;34;37;43;29;24;17;26;13;21;
Bedia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;2;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;4;0;1;0;3;2;1;0;0;0;0;0;2;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
Berango;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;2;1;0;2;2;0;4;1;0;1;2;1;1;0;0;0;0;0;0;3;1;1;2;0;2;0;3;4;2;2;2;2;3;2;5;3;1;1;1;1;1;0;1;0;0;2;2;1;4;0;1;1;1;3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;3;0;5;3;0;2;1;2;3;1;1;1;2;4;2;1;9;3;2;1;3;5;0;6;1;3;1;1;6;2;1;10;4;6;6;4;1;5;5;3;1;2;
Bermeo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;1;1;2;1;0;0;1;0;4;0;0;0;0;1;2;1;1;2;0;1;0;0;0;0;1;0;1;0;0;1;1;6;0;7;6;2;4;1;5;4;0;4;2;1;2;1;1;7;3;2;4;5;3;7;8;2;2;1;2;4;3;2;1;0;2;0;1;5;1;2;2;1;1;2;2;0;1;0;1;3;0;1;3;1;0;0;0;1;0;2;1;0;0;2;2;1;3;2;2;1;1;3;3;1;2;2;4;1;8;8;7;2;4;5;3;7;13;4;6;2;5;2;3;5;5;8;0;1;0;
Berriatua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;2;0;1;0;1;0;0;0;0;3;1;0;1;0;0;3;1;2;0;3;2;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;0;1;0;4;0;5;4;2;0;2;6;0;2;0;0;2;6;5;3;2;2;2;1;0;0;4;1;0;0;0;0;1;1;2;0;0;0;0;0;
Berriz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;2;0;0;1;1;0;4;1;1;1;0;1;0;3;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2;5;0;5;0;0;5;0;19;5;4;3;2;4;3;11;5;5;1;3;3;6;5;3;2;3;1;3;8;8;1;1;5;7;3;6;2;3;0;0;2;0;2;1;1;3;1;2;5;1;1;1;4;0;5;1;
Bilbao;11;5;7;2;2;7;9;4;4;3;5;0;2;7;3;4;2;1;0;0;1;0;2;1;3;5;5;9;9;6;4;4;1;2;4;5;6;8;4;0;0;0;3;0;1;0;1;1;2;4;4;4;0;2;1;3;5;7;6;11;5;4;3;12;28;17;12;21;14;37;23;25;55;22;36;15;88;88;77;49;48;69;91;126;173;156;163;115;79;103;156;127;181;166;96;81;100;177;194;139;187;96;61;112;165;160;208;104;67;63;88;126;133;119;96;114;84;80;105;127;135;107;51;58;100;68;77;92;93;49;34;46;85;62;56;93;59;31;47;57;50;52;65;20;50;36;77;67;73;76;48;53;34;85;99;97;68;112;61;102;156;180;146;164;165;100;69;145;217;179;149;141;198;219;199;168;193;192;138;174;207;203;234;159;180;120;129;177;
Busturia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;1;0;1;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;1;0;0;0;0;1;0;0;3;0;0;0;4;0;0;2;0;
Derio;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;2;2;6;1;4;4;3;2;0;1;2;1;2;3;3;2;2;5;2;2;0;1;1;2;1;0;2;1;1;0;1;1;1;1;4;3;0;0;3;0;0;0;5;1;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;1;0;4;0;1;2;2;1;2;0;1;1;0;1;4;8;2;3;3;1;1;0;0;4;1;2;2;0;0;1;7;5;0;4;4;4;2;2;0;0;2;
Dima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;3;2;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;2;
Durango;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0;3;2;3;0;3;2;0;3;2;1;1;4;4;1;1;1;7;1;5;1;3;4;7;3;5;2;12;4;3;5;3;10;1;4;8;5;11;14;7;7;8;12;8;7;7;7;6;8;2;15;14;9;4;2;10;7;7;9;4;16;5;5;14;1;15;15;3;6;9;15;10;10;12;12;3;18;4;19;21;22;26;8;9;19;30;46;15;13;11;37;29;20;21;36;17;8;9;15;13;9;8;13;4;9;9;12;12;12;12;7;9;2;
Ea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;
Elantxobe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Elorrio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;2;0;0;1;1;3;1;0;3;7;2;3;0;10;4;0;1;4;2;1;0;1;3;0;0;0;1;1;1;5;1;1;0;0;2;0;0;2;1;0;0;1;0;0;0;1;0;0;2;0;2;0;1;1;1;0;2;2;2;3;2;2;6;2;7;2;5;4;1;0;3;3;4;2;1;2;6;1;2;2;1;1;0;2;9;1;2;2;2;0;1;1;5;1;1;2;0;2;1;
Erandio;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;4;10;3;3;3;2;6;14;8;14;11;4;14;10;15;8;12;10;3;5;6;5;10;14;6;8;5;8;7;15;7;11;5;13;6;12;6;4;14;13;1;13;5;12;13;6;2;3;17;2;7;12;14;2;4;3;4;7;1;9;2;0;2;3;6;2;3;5;2;2;2;2;10;11;1;5;7;4;4;3;9;16;0;4;13;6;7;6;16;16;12;12;6;14;9;25;6;14;14;17;19;15;10;22;19;17;7;15;5;13;4;9;
Ere�o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ermua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;48;23;13;28;22;19;12;13;8;11;2;5;9;10;2;3;2;1;2;0;1;0;1;0;0;2;0;0;0;0;0;0;2;1;1;1;2;0;1;1;0;0;1;2;2;4;2;2;0;4;1;0;0;2;0;3;3;2;0;2;4;1;2;1;1;0;2;0;4;1;5;6;0;0;1;0;3;4;2;7;1;4;9;7;9;2;12;1;5;10;6;21;1;18;8;7;6;14;8;10;18;21;15;12;25;13;21;10;14;10;14;15;16;18;22;17;13;30;18;15;10;13;13;
Errigoiti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;
Etxebarri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;1;1;1;0;0;2;2;3;2;1;5;1;2;2;1;0;1;1;1;1;0;2;1;2;6;0;1;1;1;1;2;1;1;1;1;4;3;2;4;1;2;3;3;2;1;3;1;3;2;6;1;2;0;2;2;0;4;1;0;2;2;0;1;1;0;0;0;0;2;1;2;3;3;6;2;1;4;0;7;5;1;0;5;4;6;5;4;9;5;3;6;8;5;9;10;4;7;10;10;10;2;16;7;9;4;2;
Etxebarria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;3;0;1;3;2;4;1;0;1;2;3;2;0;0;3;0;2;2;0;7;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Forua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;2;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;
Fruiz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;
Galdakao;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;1;0;0;0;1;3;0;2;2;0;3;2;1;7;8;4;5;2;1;8;4;7;5;1;2;4;8;7;7;8;5;3;9;7;3;9;10;4;3;5;16;10;15;1;3;2;3;7;2;6;5;1;2;1;2;5;5;2;5;3;5;4;5;5;7;9;4;3;6;4;2;1;3;2;8;5;4;4;9;3;6;5;6;6;20;5;11;10;14;14;28;1;8;14;17;22;10;16;24;13;16;9;22;17;17;21;7;9;14;15;9;16;11;5;10;6;8;
Galdames;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;
Gamiz-Fika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;16;2;1;0;2;0;1;2;0;1;0;1;0;0;0;0;0;3;0;1;1;0;0;1;0;0;0;0;
Garai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Gatika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;1;0;1;1;2;1;2;0;1;0;1;1;1;1;1;2;2;4;0;0;4;2;0;2;0;0;0;0;0;0;0;
Gautegiz Arteaga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;2;0;1;1;0;0;3;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;
Gernika-Lumo;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;2;0;0;0;0;0;2;1;2;4;1;0;3;3;5;15;14;20;37;13;47;19;20;15;7;4;2;9;1;5;0;5;3;2;3;2;4;2;1;2;0;4;2;1;0;5;1;2;4;1;1;2;0;1;3;1;2;2;0;0;0;4;2;2;5;2;0;2;0;1;0;2;2;0;2;6;4;6;0;0;2;5;3;1;5;1;2;3;4;16;3;4;3;3;4;8;9;6;5;7;2;1;9;6;
Getxo;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;1;1;0;1;1;2;4;3;1;4;5;3;1;5;12;2;4;5;9;17;14;8;12;8;15;14;30;34;24;26;21;46;22;18;28;18;20;18;36;11;41;34;27;32;11;12;20;27;30;47;20;17;40;26;36;27;20;9;19;20;9;10;26;16;7;22;11;12;5;20;12;10;9;18;4;5;5;10;7;6;5;5;3;14;7;10;9;15;22;12;15;22;22;17;16;14;26;32;30;40;23;27;17;17;28;19;55;25;41;17;38;30;50;90;49;18;49;62;39;47;36;53;33;
Gizaburuaga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
Gordexola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;2;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;2;4;1;0;0;2;2;3;0;0;0;3;1;1;0;2;0;0;0;1;0;
Gorliz;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;4;1;1;0;2;0;2;1;2;0;3;0;0;4;6;0;2;1;1;1;0;0;4;2;3;3;3;1;7;1;2;2;0;0;2;3;4;0;3;0;0;0;0;1;0;0;2;2;0;2;0;1;4;2;2;0;1;2;2;1;2;0;1;0;0;0;0;0;0;1;1;2;3;0;2;1;0;1;0;0;0;0;2;3;2;3;3;2;10;2;1;5;3;9;2;0;1;1;0;
G�e�es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;3;0;2;0;1;1;0;1;0;6;0;1;7;0;1;0;0;0;0;1;0;2;5;2;0;3;5;4;1;0;1;0;0;1;0;2;0;0;0;1;0;2;0;1;1;0;0;0;2;0;1;3;0;2;0;0;2;0;0;0;2;3;0;2;5;1;0;4;0;3;2;0;1;2;1;0;2;0;1;1;2;1;4;1;1;4;1;1;0;2;5;5;8;0;4;5;1;1;3;2;1;6;4;1;
Ibarrangelu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Igorre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;2;0;0;0;1;0;0;1;0;2;0;4;0;1;0;0;0;2;0;1;1;0;1;0;0;2;0;1;0;0;4;1;0;0;1;2;1;0;0;0;1;0;1;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;0;3;1;1;1;4;2;2;1;2;2;0;3;0;4;2;2;0;0;0;1;2;1;2;0;1;0;0;0;
Ispaster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Iurreta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;2;1;0;1;0;0;1;0;1;3;0;1;0;0;0;1;1;0;1;2;1;0;2;0;5;2;1;1;6;0;0;1;0;0;6;1;1;0;0;2;1;0;1;0;3;0;2;1;3;1;0;1;3;1;0;2;3;1;0;0;0;1;1;0;0;1;2;1;4;2;2;0;2;4;7;6;7;4;3;0;7;4;3;2;1;2;1;4;0;4;1;0;2;2;0;0;
