Evolución nº total de altas hospitalización;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/07/27;35;4;9;2;9;4;1;0;0;1;0;0;0;0;3;1;0;;1;0;
2020/07/28;46;13;5;8;9;4;0;0;2;0;2;2;0;0;0;0;0;;0;1;
2020/07/29;26;2;4;9;5;1;0;1;2;0;0;1;0;0;1;0;0;;0;0;
2020/07/30;39;5;7;5;7;5;1;0;1;0;1;1;0;0;4;2;0;;0;0;
2020/07/31;19;7;2;5;2;0;0;0;1;0;0;1;0;0;1;0;0;;0;0;
2020/08/01;23;5;5;1;3;3;0;0;3;2;0;0;0;0;1;0;0;;0;0;
2020/08/02;10;2;3;3;0;0;1;0;1;0;0;0;0;0;0;0;0;;0;0;
2020/08/03;27;3;5;4;8;1;1;1;0;1;1;0;0;0;1;0;0;;1;0;
2020/08/04;57;14;12;3;10;3;1;0;4;0;2;1;0;0;6;1;0;;0;0;
2020/08/05;33;0;4;5;10;3;1;1;1;2;4;0;0;0;1;0;0;;1;0;
2020/08/06;52;9;6;10;11;4;0;1;1;;3;2;0;0;5;0;0;;0;0;
2020/08/07;52;11;12;5;11;3;2;0;2;0;0;0;1;0;4;1;0;;0;0;
2020/08/08;20;0;5;1;6;2;2;0;1;0;1;0;0;0;2;0;0;;0;0;
2020/08/09;13;5;0;3;1;0;1;0;2;1;0;0;0;0;0;0;0;;0;0;
2020/08/10;44;8;7;7;9;2;0;0;2;1;2;2;0;0;3;0;0;;1;0;
2020/08/11;51;7;7;7;10;10;0;0;1;1;1;1;0;1;3;1;0;;1;0;
2020/08/12;46;10;8;4;9;5;0;1;0;0;0;1;0;2;2;2;0;;2;0;
2020/08/13;50;8;9;6;13;0;1;1;5;0;1;1;1;0;2;1;0;;1;0;
2020/08/14;79;16;11;10;16;7;2;0;5;1;3;1;0;0;6;1;0;;0;0;
2020/08/15;12;1;3;2;2;1;0;0;1;1;0;0;0;0;1;0;0;;0;0;
2020/08/16;9;2;0;2;3;0;0;0;0;0;0;1;0;0;1;0;0;;0;0;
2020/08/17;44;9;8;3;8;4;3;0;1;0;0;1;0;1;5;0;0;;1;0;
2020/08/18;53;12;7;7;11;6;1;0;2;0;1;0;0;0;6;0;0;;0;0;
2020/08/19;60;13;5;13;13;5;2;2;2;0;2;0;0;0;0;1;0;;2;0;
2020/08/20;76;14;16;14;22;4;0;1;2;0;1;0;0;0;2;0;0;;0;0;
2020/08/21;62;11;14;6;13;3;4;1;1;0;3;0;0;1;5;0;0;;0;0;
2020/08/22;21;3;5;4;4;2;1;;0;0;0;0;0;0;1;1;0;;0;0;
2020/08/23;12;2;0;4;2;1;0;;2;0;1;0;0;0;0;0;0;;0;0;
2020/08/24;61;10;21;5;14;4;1;0;2;2;0;0;0;0;2;0;0;;0;0;
2020/08/25;55;10;12;5;13;5;1;0;4;0;0;1;0;0;4;0;0;;0;0;
