Evolución nº de nuevos ingresos en UCI;;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;;
2020/07/02;0;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/07/03;3;0;2;0;0;;;;;;;1;;;;;;;;;;
2020/07/04;1;0;0;0;0;1;;;;;;0;;;;;;;;;;
2020/07/05;1;0;1;0;0;0;;;;;;;;;;;;;;;;
2020/07/06;3;0;1;1;0;1;;;;;;;;;;;;;;;;
2020/07/07;1;1;0;;0;0;;;;;;;;;;;;;;;;
2020/07/08;3;0;1;2;0;0;;;;;;;;;;;;;;;;
2020/07/09;1;1;0;0;0;0;;;;;;;;;;;;;;;;
2020/07/10;7;1;3;1;2;;;;;;;;;;;;;;;;;
2020/07/11;1;0;0;0;1;;;;;;;;;;;;;;;;;
2020/07/12;1;0;0;1;0;;;;;;;;;;;;;;;;;
2020/07/13;1;0;1;0;0;;;;;;;;;;;;;;;;;
2020/07/14;0;0;0;0;0;;;;;;;;;;;;;;;;;
2020/07/15;4;1;2;1;0;;;;;;;;;;;;;;;;;
2020/07/16;1;0;0;0;1;;;;;;;;;;;;;;;;;
2020/07/17;0;0;0;0;0;;;;;;;;;;;;;;;;;
2020/07/18;1;0;1;0;0;;;;;;;;;;;;;;;;;
2020/07/19;1;0;1;0;0;;;;;;;;;;;;;;;;;
2020/07/20;3;0;1;1;1;;;;;;;;;;;;;;;;;
2020/07/21;1;0;0;0;1;;;;;;;;;;;;;;;;;
2020/07/22;4;0;0;2;1;;;;;;;1;;;;;;;;;;
2020/07/23;3;0;2;0;0;;;;;;1;0;;;;;;;;;;
2020/07/24;2;0;0;1;0;1;;;;;;0;;;;;;;;;;
2020/07/25;2;0;2;0;0;0;;;;;;0;;;;;;;;;;
2020/07/26;2;2;0;0;0;0;;;;;;;;;;;;;;;;
2020/07/27;3;1;0;0;2;;;;;;;;;;;;;;;;;
2020/07/28;1;0;0;0;1;;;;;;;;;;;;;;;;;
2020/07/29;3;1;1;0;0;1;;;;;;;;;;;;;;;;
2020/07/30;3;0;1;2;0;0;;;;;;;;;;;;;;;;
2020/07/31;2;0;1;0;0;0;;;;;1;;;;;;;;;;;
2020/08/01;3;2;0;1;0;0;;;;;;;;;;;;;;;;
2020/08/02;2;0;1;0;1;0;;;;;;;;;;;;;;;;
2020/08/03;3;1;0;1;1;0;;;;;;;;;;;;;;;;
2020/08/04;2;2;0;0;0;0;;;;;;;;;;;;;;;;
2020/08/05;1;1;0;0;0;0;;;;;;;;;;;;;;;;
2020/08/06;6;1;4;;1;0;;;;;;;;;;;;;;;;
2020/08/07;3;0;2;;1;0;;;;;;;;;;;;;;;;
2020/08/08;3;0;2;;0;0;;;;;1;;;;;;;;;;;
2020/08/09;0;0;0;;0;0;;;;;;;;;;;;;;;;
2020/08/10;3;0;0;2;1;0;;;;;;;;;;;;;;;;
2020/08/11;4;0;2;0;1;1;;;;;;;;;;;;;;;;
2020/08/12;7;3;2;1;0;1;;;;;;;;;;;;;;;;
2020/08/13;5;1;1;1;2;0;;;;;;;;;;;;;;;;
2020/08/14;6;0;5;0;1;0;;;;;;;;;;;;;;;;
2020/08/15;3;1;1;0;1;0;;;;;;;;;;;;;;;;
2020/08/16;3;0;2;1;0;0;;;;;;;;;;;;;;;;
2020/08/17;5;1;1;1;2;0;;;;;;;;;;;;;;;;
2020/08/18;4;0;3;1;0;0;;;;;;;;;;;;;;;;
2020/08/19;3;1;0;0;1;1;;;;;;;;;;;;;;;;
2020/08/20;8;4;1;0;2;1;;;;;;;;;;;;;;;;
2020/08/21;7;0;2;2;2;0;;;;;;1;;;;;;;;;;
2020/08/22;2;2;0;0;0;0;;;;;;0;;;;;;;;;;
2020/08/23;7;2;2;2;1;0;;;;;;;;;;;;;;;;
2020/08/24;8;1;0;4;1;2;;;;;;;;;;;;;;;;
2020/08/25;4;0;1;0;2;0;;;;;;1;;;;;;;;;;
2020/08/26;9;2;2;4;1;0;;;;;;0;;;;;;;;;;
2020/08/27;4;1;1;0;2;0;;;;;;0;;;;;;;;;;
2020/08/28;8;3;2;2;1;0;;;;;;0;;;;;;;;;;
2020/08/29;4;0;3;0;1;0;;;;;;0;;;;;;;;;;
2020/08/30;1;0;1;0;0;0;;;;;;0;;;;;;;;;;
2020/08/31;7;4;0;1;2;0;;;;;;0;;;;;;;;;;
2020/09/01;10;3;3;0;3;1;;;;;;0;;;;;;;;;;
2020/09/02;8;1;1;3;2;1;;;;;;0;;;;;;;;;;
2020/09/03;10;2;3;2;3;0;;;;;;;;;;;;;;;;
2020/09/04;4;0;0;2;2;0;;;;;;;;;;;;;;;;
2020/09/05;4;0;0;4;0;0;;;;;;;;;;;;;;;;
2020/09/06;5;0;2;2;1;0;;;;;;;;;;;;;;;;
2020/09/07;10;1;3;3;2;0;;;;;;1;;;;;;;;;;
2020/09/08;8;2;1;2;0;2;;;;;;1;;;;;;;;;;
2020/09/09;5;0;0;2;2;0;;;;;1;;;;;;;;;;;
2020/09/10;10;2;2;2;1;2;;;1;;;;;;;;;;;;;
2020/09/11;8;1;3;3;1;0;;;0;;;;;;;;;;;;;
2020/09/12;4;0;2;1;1;0;;;;;;;;;;;;;;;;
2020/09/13;1;0;0;0;1;0;;;;;;;;;;;;;;;;
2020/09/14;7;2;1;3;0;0;;;;;;1;;;;;;;;;;
2020/09/15;8;0;2;3;2;1;;;;;;0;;;;;;;;;;
2020/09/16;9;1;3;2;1;1;;;;;1;0;;;;;;;;;;
2020/09/17;4;1;1;1;0;0;;;;;;1;;;;;;;;;;
2020/09/18;4;0;1;1;1;1;;;;;;0;;;;;;;;;;
2020/09/19;4;2;1;1;0;0;;;;;;0;;;;;;;;;;
2020/09/20;6;2;0;3;1;0;;;;;;0;;;;;;;;;;
2020/09/21;3;0;1;0;2;0;;;;;;0;;;;;;;;;;
2020/09/22;6;1;1;2;0;2;;;;;;0;;;;;;;;;;
2020/09/23;5;0;3;1;0;1;;;;;;0;;;;;;;;;;
2020/09/24;9;0;4;2;2;1;;;;;;;;;;;;;;;;
2020/09/25;11;0;1;2;4;2;;;;;1;1;;;;;;;;;;
2020/09/26;4;2;2;0;0;0;;;;;;0;;;;;;;;;;
2020/09/27;5;2;2;1;0;0;;;;;;0;;;;;;;;;;
2020/09/28;9;2;3;2;2;0;;;;;;0;;;;;;;;;;
2020/09/29;4;2;0;1;1;0;;;;;;0;;;;;;;;;;
2020/09/30;6;1;2;2;0;0;;;;;1;0;;;;;;;;;;
2020/10/01;6;2;1;1;2;0;;;;;0;0;;;;;;;;;;
2020/10/02;4;2;0;1;1;0;;;;;;;;;;;;;;;;
2020/10/03;3;0;0;2;0;0;;;;;;1;;;;;;;;;;
2020/10/04;3;1;0;1;1;0;;;;;;0;;;;;;;;;;
2020/10/05;5;0;1;2;0;2;;;;;;0;;;;;;;;;;
2020/10/06;7;0;5;1;1;0;;;;;;0;;;;;;;;;;
2020/10/07;4;1;1;0;1;0;;;;;;1;;;;;;;;;;
2020/10/08;6;1;2;2;1;0;;;;;;0;;;;;;;;;;
2020/10/09;4;3;1;0;0;0;;;;;;;;;;;;;;;;
2020/10/10;3;1;0;1;0;1;;;;;;;;;;;;;;;;
2020/10/11;1;1;0;0;0;0;;;;;;;;;;;;;;;;
2020/10/12;6;1;3;2;0;0;;;;;;;;;;;;;;;;
2020/10/13;4;1;1;2;0;0;;;;;;;;;;;;;;;;
2020/10/14;6;0;1;2;3;0;;;;;;;;;;;;;;;;
2020/10/15;6;0;1;0;1;3;;;;;1;;;;;;;;;;;
2020/10/16;5;0;2;3;0;0;;;;;;;;;;;;;;;;
2020/10/17;8;1;1;4;1;1;;;;;;;;;;;;;;;;
2020/10/18;5;1;1;3;0;0;;;;;;;;;;;;;;;;
2020/10/19;8;2;0;3;2;1;;;;;;;;;;;;;;;;
2020/10/20;5;1;2;0;0;1;;;;;;1;;;;;;;;;;
2020/10/21;5;2;0;1;1;0;;;;;;1;;;;;;;;;;
2020/10/22;11;1;2;3;2;1;;;;;;2;;;;;;;;;;
2020/10/23;5;1;0;1;2;1;;;;;;0;;;;;;;;;;
2020/10/24;9;2;3;2;2;0;;;;;;0;;;;;;;;;;
