Evolución nº de altas de UCI;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/10/12;1;1;0;0;0;0;;;;;;;;;;;;;;;
2020/10/13;7;2;1;3;1;0;;;;;;;;;;;;;;;
2020/10/14;4;1;2;1;0;0;;;;;;;;;;;;;;;
2020/10/15;8;2;2;1;1;1;;;;;1;;;;;;;;;;
2020/10/16;5;2;1;0;1;1;;;;;;;;;;;;;;;
2020/10/17;1;0;1;0;0;0;;;;;;;;;;;;;;;
2020/10/18;6;0;0;4;1;1;;;;;;;;;;;;;;;
2020/10/19;4;0;0;2;2;0;;;;;;;;;;;;;;;
2020/10/20;6;2;2;1;1;0;;;;;;0;;;;;;;;;
2020/10/21;2;0;1;0;0;1;;;;;;0;;;;;;;;;
2020/10/22;6;0;1;1;1;1;;;;;;2;;;;;;;;;
2020/10/23;3;0;3;0;0;0;;;;;;0;;;;;;;;;
2020/10/24;8;1;1;3;3;0;;;;;;0;;;;;;;;;
2020/10/25;3;0;0;1;1;0;;;;;;1;;;;;;;;;
2020/10/26;11;3;0;4;3;0;;;;;;1;;;;;;;;;
2020/10/27;4;1;0;3;0;0;;;;;;0;;;;;;;;;
2020/10/28;11;1;3;2;2;2;;;;;;1;;;;;;;;;
2020/10/29;4;0;0;2;2;0;;;;;;0;;;;;;;;;
2020/10/30;2;1;0;0;0;1;;;;;;0;;;;;;;;;
2020/10/31;4;1;0;3;0;0;;;;;;0;;;;;;;;;
2020/11/01;3;0;1;2;0;0;;;;;;0;;;;;;;;;
2020/11/02;12;4;0;1;4;2;;;;;;1;;;;;;;;;
2020/11/03;5;0;0;3;1;1;;;;;;0;;;;;;;;;
2020/11/04;7;1;1;4;0;0;;;;;;1;;;;;;;;;
2020/11/05;7;2;1;3;1;0;;;;;;0;;;;;;;;;
2020/11/06;8;3;2;2;0;0;;;;;;1;;;;;;;;;
2020/11/07;2;0;1;1;0;0;;;;;;0;;;;;;;;;
2020/11/08;4;3;0;0;1;0;;;;;;0;;;;;;;;;
2020/11/09;8;2;2;3;1;0;;;;;;0;;;;;;;;;
2020/11/10;7;0;1;5;0;1;;;;;;0;;;;;;;;;
2020/11/11;15;1;5;1;6;1;;;;;;1;;;;;;;;;
2020/11/12;8;2;3;2;0;1;;;;;;0;;;;;;;;;
2020/11/13;9;0;3;6;0;0;;;;;;0;;;;;;;;;
2020/11/14;9;2;1;2;2;1;;;;;;1;;;;;;;;;
2020/11/15;10;3;2;4;0;0;;;;;;1;;;;;;;;;
2020/11/16;14;1;2;4;5;1;;;;;1;0;;;;;;;;;
2020/11/17;6;1;2;2;0;1;0;;;;;0;;;;;;;;;
